id,total_inflow,total_outflow,net_flow,inflow_2006,outflow_2006,net_flow_2006,inflow_2007,outflow_2007,net_flow_2007,inflow_2008,outflow_2008,net_flow_2008,inflow_2009,outflow_2009,net_flow_2009,inflow_2010,outflow_2010,net_flow_2010,inflow_2011,outflow_2011,net_flow_2011,inflow_2012,outflow_2012,net_flow_2012,inflow_2013,outflow_2013,net_flow_2013,inflow_2014,outflow_2014,net_flow_2014,inflow_2015,outflow_2015,net_flow_2015
1003,55621.48,166289.57,-110668.09,0,0,0,29017,0,29017,20635,0,20635,0,0,0,0,0,0,0,162277.88,-162277.88,0,4011.69,-4011.69,5969.48,0,5969.48,0,0,0,0,0,0
1015,59563.62,911825.18,-852261.56,0,71812,-71812,0,70224,-70224,0,0,0,0,220667.62,-220667.62,0,37586,-37586,25278,109233.44,-83955.44,0,49871,-49871,34285.62,352431.12,-318145.5,0,0,0,0,0,0
1045,105295.68,5516880.53,-5411584.85,0,5001214,-5001214,48900,155836,-106936,0,19701.84,-19701.84,0,120319.34,-120319.34,56395.68,34614.92,21780.76,0,59183,-59183,0,9952.61,-9952.61,0,116058.82,-116058.82,0,0,0,0,0,0
1073,23934562.26,2237836.28,21696725.98,47990,697021,-649031,1072681,835724,236957,17936059,0,17936059,997195.78,593975.36,403220.42,2839099.64,83240.4,2755859.24,1336734.84,7794.9,1328939.94,-295198,20080.62,-315278.62,0,0,0,0,0,0,0,0,0
1083,204000,26768,177232,0,0,0,0,26768,-26768,0,0,0,0,0,0,204000,0,204000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,160169525.5,8144523.86,152025001.7,6138624.83,2511966,3626658.83,18322548.05,2953413,15369135.05,25109581.34,0,25109581.34,22495581.73,521258.52,21974323.21,27601931.77,62214.71,27539717.06,29848462.82,845155.62,29003307.2,18901142.14,710214.89,18190927.25,11751652.83,540301.12,11211351.71,0,0,0,0,0,0
1095,3266,18270,-15004,0,0,0,0,18270,-18270,0,0,0,0,0,0,0,0,0,0,0,0,3266,0,3266,0,0,0,0,0,0,0,0,0
1097,27078874.28,10638493.9,16440380.38,22315,4499533,-4477218,16970077,0,16970077,3812184,0,3812184,9574.65,6024986.14,-6015411.49,6226768,4600,6222168,0,-19996.54,19996.54,29702.23,0,29702.23,8253.4,129371.3,-121117.9,0,0,0,0,0,0
1101,3546896.9,2098399.88,1448497.02,699964.69,72772,627192.69,2235314,476803,1758511,254160,-15170.75,269330.75,259351.4,653710.68,-394359.28,-12502.29,313652.46,-326154.75,0,267413.53,-267413.53,-16479.52,156560.82,-173040.34,127088.62,172658.14,-45569.52,0,0,0,0,0,0
1125,169255.68,52871.34,116384.34,8672.62,0,8672.62,42461,0,42461,18697,56157.51,-37460.51,43356.46,0,43356.46,20768,-3286.17,24054.17,16525.6,0,16525.6,18775,0,18775,0,0,0,0,0,0,0,0,0
2020,372652909.3,3262472.53,369390436.7,25927608,27574,25900034,46392679.3,135849,46256830.3,40405992.54,0,40405992.54,56945073.22,335058.56,56610014.66,64023807.82,524687.77,63499120.05,68008675.74,668118.51,67340557.23,40530678.15,1419204.32,39111473.83,30418394.48,151980.37,30266414.11,0,0,0,0,0,0
2090,35267624.26,5278326.61,29989297.65,9123969.7,16495,9107474.7,11635941,0,11635941,2341879,9954,2331925,6327531.91,716284.16,5611247.75,2510726.89,863693.01,1647033.88,2375988.48,805284.09,1570704.39,945819.64,1528932.75,-583113.11,5767.64,1337683.6,-1331915.96,0,0,0,0,0,0
4003,2192058.54,4648874.76,-2456816.22,0,20198,-20198,11806,350183,-338377,8910,0,8910,0,1017074.06,-1017074.06,0,2804819.09,-2804819.09,0,216292.66,-216292.66,1267041.54,113840.85,1153200.69,904301,126467.1,777833.9,0,0,0,0,0,0
4013,24249682.16,1582258.53,22667423.63,706625.05,0,706625.05,2549612.94,548859,2000753.94,4754702.76,18505,4736197.76,4184123.07,65334.16,4118788.91,4849085.17,65982.03,4783103.14,4851092.92,80420,4770672.92,1180512.91,564443.5,616069.41,1173927.34,238714.84,935212.5,0,0,0,0,0,0
4019,683002.76,15499016.4,-14816013.64,22300,1354288,-1331988,123750,124823,-1073,189297.8,17250,172047.8,118081,3493750.56,-3375669.56,225484.92,5756428.01,-5530943.09,33102.2,1412628.58,-1379526.38,-59187.16,1605445.47,-1664632.63,30174,1734402.78,-1704228.78,0,0,0,0,0,0
5119,716620.52,10581675.66,-9865055.14,-8511,2023657,-2032168,91340,2630155,-2538815,25072.8,0,25072.8,557396.84,4180015.33,-3622618.49,10490.69,832045.6,-821554.91,50012.49,379617.62,-329605.13,44804.54,229492.88,-184688.34,-53985.84,306692.23,-360678.07,0,0,0,0,0,0
5131,137257.03,278440.74,-141183.71,0,0,0,0,0,0,42959,134400,-91441,73149.62,-8319.21,81468.83,0,9827.73,-9827.73,0,46790.4,-46790.4,3073.91,92164.32,-89090.41,18074.5,3577.5,14497,0,0,0,0,0,0
6001,10672585.46,12526422.79,-1853837.33,163185,1705049,-1541864,1093382,13823,1079559,749052.83,2262098,-1513045.17,990204.65,3224326.4,-2234121.75,430304.77,2799329.94,-2369025.17,2782444.62,375418.09,2407026.53,510267.41,0,510267.41,3953744.18,2146378.36,1807365.82,0,0,0,0,0,0
6013,30827448.59,60082.5,30767366.09,97032,38957.04,58074.96,5722557.96,0,5722557.96,5521794.47,12562,5509232.47,7876677.39,0,7876677.39,6566997.47,13125,6553872.47,3759672,-4561.54,3764233.54,1162726.71,0,1162726.71,119990.59,0,119990.59,0,0,0,0,0,0
6019,273588.51,1590946.52,-1317358.01,0,0,0,30012.4,0,30012.4,123715.69,0,123715.69,0,0,0,-92290.9,6438.12,-98729.02,14045.42,1578211.94,-1564166.52,189102.59,-17.87,189120.46,9003.31,6314.33,2688.98,0,0,0,0,0,0
6029,7406025.31,46536942.11,-39130916.8,471535.94,0,471535.94,1923373.67,3351068.12,-1427694.45,2038481.9,-1035,2039516.9,1790187.96,12669411.07,-10879223.11,999928.44,7096641.63,-6096713.19,22917.4,7438746.16,-7415828.76,188600,6977014.8,-6788414.8,-29000,9005095.33,-9034095.33,0,0,0,0,0,0
6037,130861900,1798776.87,129063123.1,2324657.92,431336.64,1893321.28,16142088.05,431179,15710909.05,31904996.43,60243.71,31844752.72,30981530.81,233236.69,30748294.12,22153998.56,624252.22,21529746.34,11553585.28,-73115.35,11626700.63,11318466.38,-18815.12,11337281.5,4482576.55,110459.08,4372117.47,0,0,0,0,0,0
6041,1779666.82,14281,1765385.82,895,0,895,495466,0,495466,457097.18,0,457097.18,328284.84,0,328284.84,442483.94,0,442483.94,0,0,0,2749.86,0,2749.86,52690,14281,38409,0,0,0,0,0,0
6053,9499802.02,6410528.31,3089273.71,0,163815.5,-163815.5,4440,867797.26,-863357.26,208819.64,128454.71,80364.93,1955346.05,3442820.21,-1487474.16,1838050,441661.68,1396388.32,1330390.13,995789.39,334600.74,1678217.9,222219.31,1455998.59,2484538.3,147970.25,2336568.05,0,0,0,0,0,0
6059,45560168.92,26011665.57,19548503.35,1203210,10592459.6,-9389249.6,3637569.5,9837237.65,-6199668.15,4474090.46,0,4474090.46,8479892.95,1404984.47,7074908.48,5510891.29,710060.44,4800830.85,7567376.72,2628155.2,4939221.52,6845136.91,467761.23,6377375.68,7842001.09,371006.98,7470994.11,0,0,0,0,0,0
6061,38196241.32,92000,38104241.32,1172786,0,1172786,4407191,0,4407191,5575105.46,0,5575105.46,6139618.22,0,6139618.22,3089742.75,0,3089742.75,5321879.83,0,5321879.83,5083970.96,0,5083970.96,7405947.1,92000,7313947.1,0,0,0,0,0,0
6065,1648725.72,11727120.25,-10078394.53,25809,895668.75,-869859.75,35856,1084309.67,-1048453.67,560373.49,14405,545968.49,179457.49,826548.87,-647091.38,629047.58,417792.52,211255.06,23912.4,2143844.58,-2119932.18,136195.4,3494769.47,-3358574.07,58074.36,2849781.39,-2791707.03,0,0,0,0,0,0
6067,571265.3,1617363,-1046097.7,0,0,0,71714,0,71714,17910,0,17910,0,-12865,12865,71450.41,0,71450.41,149349,1520246,-1370897,192074.81,109982,82092.81,68767.08,0,68767.08,0,0,0,0,0,0
6071,33363036.42,4052911.9,29310124.52,1504465,224175,1280290,14055258.73,1035285,13019973.73,622877.43,0,622877.43,801824.89,516794.53,285030.36,646224.21,666586.78,-20362.57,6397865.6,949783.68,5448081.92,4742193.69,310078.26,4432115.43,4592326.87,350208.65,4242118.22,0,0,0,0,0,0
6073,841628551.4,1047805380,-206176828.3,55292934.7,37703394.91,17589539.79,79655445.73,85550904.75,-5895459.02,144651242.4,13670033.86,130981208.6,221046943.8,195510215.4,25536728.39,183712768.8,203394908.4,-19682139.65,66791637.84,161833486.2,-95041848.4,45553402.55,189111443.4,-143558040.9,44924175.64,161030992.8,-116106817.2,0,0,0,0,0,0
6075,2694236.48,24230411.54,-21536175.06,1200,16291251,-16290051,1666621,1801889,-135268,239411,1759799,-1520388,104116.47,715262.84,-611146.37,61012.55,1369441,-1308428.45,119734,957303.3,-837569.3,263985.04,25400,238585.04,238156.42,1310065.4,-1071908.98,0,0,0,0,0,0
6079,603818.87,501958.35,101860.52,10350,0,10350,0,0,0,23979.72,0,23979.72,475213.15,0,475213.15,67276,0,67276,0,0,0,27000,0,27000,0,501958.35,-501958.35,0,0,0,0,0,0
6081,22365819.32,3201628.98,19164190.34,1099660,0,1099660,7163142.1,7750,7155392.1,3107105.47,0,3107105.47,3295824.29,0,3295824.29,2558387.67,0,2558387.67,2040252.54,0,2040252.54,1852904.6,1853485.54,-580.94,1248542.65,1340393.44,-91850.79,0,0,0,0,0,0
6083,2502095.8,11850540.99,-9348445.19,52897,0,52897,1305307.88,83076,1222231.88,303575.2,33362,270213.2,348081.49,5898466,-5550384.51,180583.79,3622952.18,-3442368.39,242832.44,452251.02,-209418.58,68818,1696557.84,-1627739.84,0,63875.95,-63875.95,0,0,0,0,0,0
6085,11400288.13,3540892.49,7859395.64,324770.6,6879,317891.6,981964.39,330633,651331.39,2607213.89,0,2607213.89,1811314.54,159142,1652172.54,1074664.83,1418473.09,-343808.26,3920298.03,-21444.44,3941742.47,375125.3,1057888.03,-682762.73,304936.55,589321.81,-284385.26,0,0,0,0,0,0
6087,485553.45,3569.88,481983.57,0,0,0,48640,0,48640,351500,0,351500,0,0,0,4200,3569.88,630.12,11028.75,0,11028.75,37199.58,0,37199.58,32985.12,0,32985.12,0,0,0,0,0,0
