id,county,state,inflow_2006,outflow_2006,inflow_2007,outflow_2007,inflow_2008,outflow_2008,inflow_2009,outflow_2009,inflow_2010,outflow_2010,inflow_2011,outflow_2011,inflow_2012,outflow_2012,inflow_2013,outflow_2013,inflow_2014,outflow_2014,inflow_2015,outflow_2015
1,all,all,853528903.9,417237067.2,2447214913,467928810.2,2408552078,111594159.4,2597477440,1571386730,2449094182,1456632754,2190944612,1328260232,2088130929,1342464472,1626323242,1343572606,1271166007,740746564,165419091.3,90191718.65
1003,Baldwin,AL,0,0,29017,0,20635,0,0,0,0,0,0,162277.88,0,4011.69,5969.48,0,0,0,0,0
1015,Calhoun,AL,0,71812,0,70224,0,0,0,220667.62,0,37586,25278,109233.44,0,49871,34285.62,352431.12,0,0,0,0
1045,Dale,AL,0,5001214,48900,155836,0,19701.84,0,120319.34,56395.68,34614.92,0,59183,0,9952.61,0,116058.82,0,0,0,0
1073,Jefferson,AL,47990,697021,1072681,835724,17936059,0,997195.78,593975.36,2839099.64,83240.4,1336734.84,7794.9,-295198,20080.62,0,0,0,0,0,0
1083,Limestone,AL,0,0,0,26768,0,0,0,0,204000,0,0,0,0,0,0,0,0,0,0,0
1089,Madison,AL,6138624.83,2511966,18322548.05,2953413,25109581.34,0,22495581.73,521258.52,27601931.77,62214.71,29848462.82,845155.62,18901142.14,710214.89,11751652.83,540301.12,0,0,0,0
1095,Marshall,AL,0,0,0,18270,0,0,0,0,0,0,0,0,3266,0,0,0,0,0,0,0
1097,Mobile,AL,22315,4499533,16970077,0,3812184,0,9574.65,6024986.14,6226768,4600,0,-19996.54,29702.23,0,8253.4,129371.3,0,0,0,0
1101,Montgomery,AL,699964.69,72772,2235314,476803,254160,-15170.75,259351.4,653710.68,-12502.29,313652.46,0,267413.53,-16479.52,156560.82,127088.62,172658.14,0,0,0,0
1125,Tuscaloosa,AL,8672.62,0,42461,0,18697,56157.51,43356.46,0,20768,-3286.17,16525.6,0,18775,0,0,0,0,0,0,0
2020,Anchorage,AK,25927608,27574,46392679.3,135849,40405992.54,0,56945073.22,335058.56,64023807.82,524687.77,68008675.74,668118.51,40530678.15,1419204.32,30418394.48,151980.37,0,0,0,0
2090,Fairbanks North Star,AK,9123969.7,16495,11635941,0,2341879,9954,6327531.91,716284.16,2510726.89,863693.01,2375988.48,805284.09,945819.64,1528932.75,5767.64,1337683.6,0,0,0,0
4003,Cochise,AZ,0,20198,11806,350183,8910,0,0,1017074.06,0,2804819.09,0,216292.66,1267041.54,113840.85,904301,126467.1,0,0,0,0
4013,Maricopa,AZ,706625.05,0,2549612.94,548859,4754702.76,18505,4184123.07,65334.16,4849085.17,65982.03,4851092.92,80420,1180512.91,564443.5,1173927.34,238714.84,0,0,0,0
4019,Pima,AZ,22300,1354288,123750,124823,189297.8,17250,118081,3493750.56,225484.92,5756428.01,33102.2,1412628.58,-59187.16,1605445.47,30174,1734402.78,0,0,0,0
5119,Pulaski,AR,-8511,2023657,91340,2630155,25072.8,0,557396.84,4180015.33,10490.69,832045.6,50012.49,379617.62,44804.54,229492.88,-53985.84,306692.23,0,0,0,0
5131,Sebastian,AR,0,0,0,0,42959,134400,73149.62,-8319.21,0,9827.73,0,46790.4,3073.91,92164.32,18074.5,3577.5,0,0,0,0
6001,Alameda,CA,163185,1705049,1093382,13823,749052.83,2262098,990204.65,3224326.4,430304.77,2799329.94,2782444.62,375418.09,510267.41,0,3953744.18,2146378.36,0,0,0,0
6013,Contra Costa,CA,97032,38957.04,5722557.96,0,5521794.47,12562,7876677.39,0,6566997.47,13125,3759672,-4561.54,1162726.71,0,119990.59,0,0,0,0,0
6019,Fresno,CA,0,0,30012.4,0,123715.69,0,0,0,-92290.9,6438.12,14045.42,1578211.94,189102.59,-17.87,9003.31,6314.33,0,0,0,0
6029,Kern,CA,471535.94,0,1923373.67,3351068.12,2038481.9,-1035,1790187.96,12669411.07,999928.44,7096641.63,22917.4,7438746.16,188600,6977014.8,-29000,9005095.33,0,0,0,0
6037,Los Angeles,CA,2324657.92,431336.64,16142088.05,431179,31904996.43,60243.71,30981530.81,233236.69,22153998.56,624252.22,11553585.28,-73115.35,11318466.38,-18815.12,4482576.55,110459.08,0,0,0,0
6041,Marin,CA,895,0,495466,0,457097.18,0,328284.84,0,442483.94,0,0,0,2749.86,0,52690,14281,0,0,0,0
6053,Monterey,CA,0,163815.5,4440,867797.26,208819.64,128454.71,1955346.05,3442820.21,1838050,441661.68,1330390.13,995789.39,1678217.9,222219.31,2484538.3,147970.25,0,0,0,0
6059,Orange,CA,1203210,10592459.6,3637569.5,9837237.65,4474090.46,0,8479892.95,1404984.47,5510891.29,710060.44,7567376.72,2628155.2,6845136.91,467761.23,7842001.09,371006.98,0,0,0,0
6061,Placer,CA,1172786,0,4407191,0,5575105.46,0,6139618.22,0,3089742.75,0,5321879.83,0,5083970.96,0,7405947.1,92000,0,0,0,0
6065,Riverside,CA,25809,895668.75,35856,1084309.67,560373.49,14405,179457.49,826548.87,629047.58,417792.52,23912.4,2143844.58,136195.4,3494769.47,58074.36,2849781.39,0,0,0,0
6067,Sacramento,CA,0,0,71714,0,17910,0,0,-12865,71450.41,0,149349,1520246,192074.81,109982,68767.08,0,0,0,0,0
6071,San Bernardino,CA,1504465,224175,14055258.73,1035285,622877.43,0,801824.89,516794.53,646224.21,666586.78,6397865.6,949783.68,4742193.69,310078.26,4592326.87,350208.65,0,0,0,0
6073,San Diego,CA,55292934.7,37703394.91,79655445.73,85550904.75,144651242.4,13670033.86,221046943.8,195510215.4,183712768.8,203394908.4,66791637.84,161833486.2,45553402.55,189111443.4,44924175.64,161030992.8,0,0,0,0
6075,San Francisco,CA,1200,16291251,1666621,1801889,239411,1759799,104116.47,715262.84,61012.55,1369441,119734,957303.3,263985.04,25400,238156.42,1310065.4,0,0,0,0
6079,San Luis Obispo,CA,10350,0,0,0,23979.72,0,475213.15,0,67276,0,0,0,27000,0,0,501958.35,0,0,0,0
6081,San Mateo,CA,1099660,0,7163142.1,7750,3107105.47,0,3295824.29,0,2558387.67,0,2040252.54,0,1852904.6,1853485.54,1248542.65,1340393.44,0,0,0,0
6083,Santa Barbara,CA,52897,0,1305307.88,83076,303575.2,33362,348081.49,5898466,180583.79,3622952.18,242832.44,452251.02,68818,1696557.84,0,63875.95,0,0,0,0
6085,Santa Clara,CA,324770.6,6879,981964.39,330633,2607213.89,0,1811314.54,159142,1074664.83,1418473.09,3920298.03,-21444.44,375125.3,1057888.03,304936.55,589321.81,0,0,0,0
6087,Santa Cruz,CA,0,0,48640,0,351500,0,0,0,4200,3569.88,11028.75,0,37199.58,0,32985.12,0,0,0,0,0
6095,Solano,CA,0,44703,0,0,230387,0,21072.08,379.65,1621.2,0,6655,-12887,60233.63,-115027.32,0,130037.18,0,0,0,0
6097,Sonoma,CA,15285,0,76838,224583,16928.9,0,14182.28,0,400032.39,0,174650,0,136475.65,0,-16218.11,78200.85,0,0,0,0
6099,Stanislaus,CA,0,0,25561.74,92476,23314.04,0,37516.64,4731483.07,26240.7,4174893.5,0,2716969.67,0,0,0,0,0,0,0,0
6111,Ventura,CA,703022,19491246.95,178007.27,10825273.84,107133.59,422518.03,107395.05,14935889.68,299966.05,31810211.76,740712.55,23457526.17,806072.54,19205132.44,2390308.9,30416881.92,0,0,0,0
6113,Yolo,CA,0,0,3648,0,5832,0,1330,0,0,4540.32,0,0,0,0,10685.22,0,0,0,0,0
8001,Adams,CO,0,0,404500,15942,20736,0,29843.4,642459.33,55300,283977.85,15149.5,412216.05,0,762453.94,522.72,119390.15,0,0,0,0
8005,Arapahoe,CO,1880222.04,0,8176486.4,573900,11609811.59,0,6893827.85,445052,5328803.61,390202,6957510.95,9904.4,18343111.54,17748.28,9796765.42,-3632,0,0,0,0
8013,Boulder,CO,362084,0,4583859.48,0,1033786.78,0,470927.08,9014.72,473654.76,-333.12,125159.77,0,285198.59,121483.4,102659.46,197692,0,0,0,0
8031,Denver,CO,28104,0,1843595,6420,52191.36,0,274509.35,15225,1324958.91,22716.2,624578.78,11187.24,812316.92,0,-220038.43,9451.26,0,0,0,0
8041,El Paso,CO,347612,4262410,14946619,1093878,53175369.17,14005,9211220.91,7197069.66,16904835.14,1867206.44,1881779.49,4039044.26,1233538.59,4661484.78,1969796.36,8831547.02,0,0,0,0
8059,Jefferson,CO,924075,0,491912.49,0,1215364.07,0,4356834.47,18365.88,2380104.2,0,2496609.37,0,1175017.13,0,2211612.8,0,0,0,0,0
9001,Fairfield,CT,81378,6600,1196839.81,64104,2227338.13,24724,2016706.02,32200,1055747.74,42054.73,909608.01,2765987.26,1713766.96,3444940.18,1509857.65,7070688.74,9715482.67,3793967.35,6431578.18,1374120.4
9003,Hartford,CT,84764.33,0,725792.08,0,210296.08,3644,51865.25,36657.48,7860.84,149769.9,57304.61,97073.88,359201.1,58575.87,88236.79,13959.6,40143.57,130153.2,84574.29,0
9005,Litchfield,CT,0,0,10960,124184,16481,28506,0,0,0,726199.62,40934,52955.77,0,5604,0,5604,0,4560,0,0
9007,Middlesex,CT,2502,0,33600,0,53895.4,0,453747.92,0,97595,0,599001.58,71725.96,270159.34,14021.7,1039559,0,173348,0,70100,0
9009,New Haven,CT,528178.5,0,1455141,66924,4208226.5,0,320170.37,0,5604304.19,3738,33255004.65,0,4707571.81,0,1754232.53,16200,191806.46,0,0,0
9011,New London,CT,9932.1,5253724.71,55051507.42,6683319,5112607.11,620490.52,1034842.57,6164895.96,1115894.86,7243131.5,33172769.73,12980017.62,-3280455.32,13459140.7,-173584.77,13087100.53,472492.68,9664692.75,-327418,3799750.39
10001,Kent,DE,0,0,74791,84504,-60803,0,0,785018.39,0,10572192.5,0,1086546.75,0,2142174.24,-58175,1078493,0,-1738118.68,0,235938
10003,New Castle,DE,40658,193152,574587.79,300000,983391.58,0,637411.36,0,663457.85,1900416,587783.34,3259693.4,790602.62,0,464794.96,1188755.4,304168.19,8629.25,130443.78,0
10005,Sussex,DE,6621,0,2229,0,0,0,0,0,5981.6,0,14889.25,3231250,0,114805.71,0,3261408,0,158632.56,0,0
11001,District Of Columbia,DC,5146852,7790289,70259232.21,7270128.3,16797835.79,1648755.21,69082779.57,104120946.5,-30064827.17,70189866.37,13789897.34,87703496.53,22950366.6,104468675.3,21683850.16,91518784.19,29516075.99,99365539.42,4280772.79,-115324.52
12005,Bay,FL,0,4263562,4300,12042059.62,0,107996.68,4720,8769159.34,83317.55,3544210.94,769609.7,3186560.92,1905635.99,9179388.52,1105161.99,3102623.24,0,8568996.45,42000,429196.89
12007,Bradford,FL,0,0,11340,0,3120,0,1530,0,0,0,0,0,0,0,0,0,0,42000,0,0
12009,Brevard,FL,36583,360336.2,3810106.72,884993,3693056.33,65325,4110415.43,1273268.27,5470666.04,8335933.15,11466933.23,3893012.64,4508109.74,8142668.19,-2837804.82,5455648.39,0,0,0,0
12011,Broward,FL,99489.72,0,993904.57,0,1279257.17,0,7805733.87,513069,5686226.64,0,1561681.97,0,1198152.19,845562.06,2500658.05,0,0,0,0,0
12019,Clay,FL,0,0,0,69403,0,10662.72,0,-1812.6,0,-39481.72,0,953449.48,0,497850,0,1729253.71,7279.5,3142030.45,0,0
12031,Duval,FL,10665595.08,20189324.68,52608736.95,26933951.64,80832309.12,2877758.38,66585364.41,83768804.82,78210055.16,77547811.03,88036811.7,43695636.51,48074725.18,40230937.18,44509817.32,33326613.59,55366521.78,59794056.32,4281563.47,3302022.15
12033,Escambia,FL,0,438215.56,36490,2524506.16,98965.06,281796.48,2956069.49,5191745.67,2616070.62,4164068.88,569327.77,5328624.33,866086.7,963381.55,708620.2,2091939.21,11586802.52,819987.03,0,1462.2
12055,Highlands,FL,0,0,0,0,0,0,0,0,187537.56,0,0,0,0,471114.65,0,0,0,0,0,0
12057,Hillsborough,FL,155121,0,3181320,106805,9419159.5,0,1610035.5,200547.61,1698922.42,1589037.76,217327.67,4859213.74,67553262.06,2973862.8,1518358.82,3689197.98,0,0,0,0
12073,Leon,FL,0,0,2898380,0,681434.52,0,564131.77,0,3366.18,0,0,0,0,0,0,0,54002.97,12745.83,0,0
